freq,omega,power,mass_GeV
0.27968750,1.75732839,1.38923885e-02,1864.5833
0.28046875,1.76223713,1.50362571e-02,1869.7917
0.28125000,1.76714587,1.56226048e-02,1875.0000
0.28203125,1.77205461,1.56089930e-02,1880.2083
0.28281250,1.77696334,1.50433008e-02,1885.4167
0.28359375,1.78187208,1.40368137e-02,1890.6250
0.28437500,1.78678082,1.27328494e-02,1895.8333
0.28515625,1.79168956,1.12780682e-02,1901.0417
0.28593750,1.79659830,9.80119913e-03,1906.2500
0.28671875,1.80150704,8.40104405e-03,1911.4583
0.28750000,1.80641578,7.14315799e-03,1916.6667
0.28828125,1.81132451,6.06307111e-03,1921.8750
0.28906250,1.81623325,5.17342948e-03,1927.0833
0.28984375,1.82114199,4.47276221e-03,1932.2917
0.29062500,1.82605073,3.95430019e-03,1937.5000
0.29140625,1.83095947,3.61394393e-03,1942.7083
0.29218750,1.83586821,3.45682433e-03,1947.9167
0.29296875,1.84077695,3.50187210e-03,1953.1250
0.29375000,1.84568568,3.78358247e-03,1958.3333
0.29453125,1.85059442,4.35002578e-03,1963.5417
0.29531250,1.85550316,5.25639050e-03,1968.7500
0.29609375,1.86041190,6.55408072e-03,1973.9583
0.29687500,1.86532064,8.27653187e-03,1979.1667
0.29765625,1.87022938,1.04241495e-02,1984.3750
0.29843750,1.87513812,1.29516927e-02,1989.5833
0.29921875,1.88004685,1.57616193e-02,1994.7917
0.30000000,1.88495559,1.87061650e-02,2000.0000
0.30078125,1.88986433,2.15992994e-02,2005.2083
0.30156250,1.89477307,2.42375280e-02,2010.4167
0.30234375,1.89968181,2.64263377e-02,2015.6250
0.30312500,1.90459055,2.80075094e-02,2020.8333
0.30390625,1.90949928,2.88820032e-02,2026.0417
0.30468750,1.91440802,2.90238561e-02,2031.2500
0.30546875,1.91931676,2.84823634e-02,2036.4583
0.30625000,1.92422550,2.73722866e-02,2041.6667
0.30703125,1.92913424,2.58543274e-02,2046.8750
0.30781250,1.93404298,2.41099923e-02,2052.0833
0.30859375,1.93895172,2.23158258e-02,2057.2917
0.30937500,1.94386045,2.06216537e-02,2062.5000
0.31015625,1.94876919,1.91361419e-02,2067.7083
0.31093750,1.95367793,1.79210559e-02,2072.9167
0.31171875,1.95858667,1.69936429e-02,2078.1250
0.31250000,1.96349541,1.63350197e-02,2083.3333
0.31328125,1.96840415,1.59016545e-02,2088.5417
0.31406250,1.97331289,1.56370374e-02,2093.7500
0.31484375,1.97822162,1.54812989e-02,2098.9583
0.31562500,1.98313036,1.53775765e-02,2104.1667
0.31640625,1.98803910,1.52750255e-02,2109.3750
0.31718750,1.99294784,1.51292496e-02,2114.5833
0.31796875,1.99785658,1.49014424e-02,2119.7917
0.31875000,2.00276532,1.45576222e-02,2125.0000
0.31953125,2.00767406,1.40690672e-02,2130.2083
0.32031250,2.01258279,1.34145044e-02,2135.4167
0.32109375,2.01749153,1.25839081e-02,2140.6250
0.32187500,2.02240027,1.15830654e-02,2145.8333
0.32265625,2.02730901,1.04375245e-02,2151.0417
0.32343750,2.03221775,9.19429981e-03,2156.2500
0.32421875,2.03712649,7.91990290e-03,2161.4583
0.32500000,2.04203522,6.69392297e-03,2166.6667
0.32578125,2.04694396,5.59843324e-03,2171.8750
0.32656250,2.05185270,4.70471973e-03,2177.0833
0.32734375,2.05676144,4.05989530e-03,2182.2917
0.32812500,2.06167018,3.67651456e-03,2187.5000
0.32890625,2.06657892,3.52807535e-03,2192.7083
0.32968750,2.07148766,3.55220874e-03,2197.9167
0.33046875,2.07639639,3.66161002e-03,2203.1250
0.33125000,2.08130513,3.76077772e-03,2208.3333
0.33203125,2.08621387,3.76496896e-03,2213.5417
0.33281250,2.09112261,3.61697084e-03,2218.7500
0.33359375,2.09603135,3.29764123e-03,2223.9583
0.33437500,2.10094009,2.82766222e-03,2229.1667
0.33515625,2.10584883,2.26019836e-03,2234.3750
0.33593750,2.11075756,1.66652676e-03,2239.5833
0.33671875,2.11566630,1.11851419e-03,2244.7917
0.33750000,2.12057504,6.72521190e-04,2250.0000
0.33828125,2.12548378,3.58712933e-04,2255.2083
0.33906250,2.13039252,1.78051968e-04,2260.4167
0.33984375,2.13530126,1.06978297e-04,2265.6250
0.34062500,2.14021000,1.07649061e-04,2270.8333
0.34140625,2.14511873,1.40249413e-04,2276.0417
0.34218750,2.15002747,1.73663829e-04,2281.2500
0.34296875,2.15493621,1.91701805e-04,2286.4583
0.34375000,2.15984495,1.93735171e-04,2291.6667
0.34453125,2.16475369,1.90441154e-04,2296.8750
